show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s3194,Movie,Auschwitz: The Great Escape,Alex Dunlop,Sean Pertwee,,,2007,"7,7",46 min,Documentary,Escape from Auschwitz uncovers the true story of the spectacular escape from the camp in 1944 by two young Slovak jews -Rudolf Vrba and Alfred Wetzler. The Nazi's extermination plan relied on the truth about the camp's purpose being kept secret from the outside world.,amazon,"7,7"
s3195,Movie,Au Revoir Simone,,,,,2011,NR,31 min,Music Videos and Concerts,"Au Revoir Simone bring the rich, therapeutic, synthetic driven songcraft of The Bird of Music to Webster Hall for a haunting, hometown performance.",amazon,
s3201,TV Show,Atlantis,,"Jack Donnelly, Mark Addy, Robert Emms, Jemima Rooper",,,2015,13+,2 Seasons,"Action, Science Fiction","The time has come for Jason to fulfill his destiny - or Atlantis will be lost beneath the waves forever. A year has passed and much has changed. With the future looking bleak, Ariadne turns to her most trusted friends for support and so Jason, Hercules and Pythagoras are thrust to the very heart of politics and power in the city.",amazon,"8,1"
s3202,TV Show,Atlantic: A Year in the Wild,,David Suchet,,,2018,ALL,1 Season,"Documentary, Special Interest","The Atlantic Ocean is vast, wild and unforgiving. Stretching from the Antarctic in the south to the Arctic in the north. Four films, each documenting a different season in and around the Atlantic, through the lives of the animals that live there. Every season brings new challenges. All must be resilient and adaptable if they're to survive a year in the wild Atlantic.",amazon,
s3203,TV Show,Atlanta Plastic,,"Sidney Starr, Mike Forbs",,,2016,TV-14,2 Seasons,"Documentary, Drama, Unscripted",Atlanta Plastic follows three of the country's top African- American plastic surgeons as they shatter stereotypes and provide a wide range of beauty procedures to clients of all ethnic backgrounds.,amazon,"6,4"
s3204,Movie,Asobi Seksu,,,,,2011,NR,37 min,Music Videos and Concerts,"Shoegazing dream-pop from the bilingual hipster set, Asobi Seksu.",amazon,
s3206,Movie,Ashish Shakya - Life Is Good,Karan Asnani,Ashish Shakya,,,2019,18+,54 min,Comedy,"Ashish Shakya aka ‘That AIB Guy’ aka ‘Hai Dear, What A Sexy’ presents a comedy special that is at once sharp, goofy, chill, relatable and other ways of saying ‘You should watch!’. It won’t change your life, but you’ll laugh, get some sweet dopamine hits and then go to bed with your someone special. Someone special not provided by comedian. Audiences are requested to make their own arrangements.",amazon,"4,6"
s3207,Movie,Asha Jaoar Majhe (Non-English Dialog),Aditya Vikram Sengupta,"Ritwick Chakraborty, Basabdutta Chatterjee",,,2015,NR,82 min,Drama,"Labour Of Love is a lyrical unfolding of two ordinary lives suspended in the duress of a spiraling recession. They are married to a cycle of work and domestic routine, and long stretches of waiting in the silence of an empty house.",amazon,
s3208,TV Show,Asawa Ko Karibal Ko,,"Kris Bernal, Rayver Cruz, Thea Tolentino",,,2019,7+,1 Season,"Kids, LGBTQ, Romance","Rachel meets Nathan, a gay man who later marries her due to family's pressure. Unhappy and trapped, Nathan plots his fake death and later undergoes to a sexual reassignment and face surgery in another country. Years later, Rachel meets Gavin and falls for him. Gavin has a wife, Venus whom Rachel will eventually find out to be her former husband.",amazon,
s3209,Movie,Aruvi,Arun Prabu Purushothaman,"Aditi Balan, Lakshmi Gopalaswamy, Shwetha Shekar, Mohammad Ali Baig",,,2017,13+,131 min,"Comedy, Drama, International",A gentle girl born and brought up amidst the ever growing eco-social-consumeristic environment finds it difficult to fit in the society. She decides to take it hard on the people. What she does is the rest of the story.,amazon,"8,5"
s3210,TV Show,Arthur,,"Cameron Ansell, Jason Szwimer, Daniel Brochu, Bruce Dinsmore, Jodie Resther, Melissa Altro, Sonja Ball, Paul-Stuart Brown, Holly G. Frankel, Eleanor Noble, Arthur Holden, Ryan Tilson, Tyler Brody-Stein, Tamar Kozlov, Ellen David, Jessica Kardos, Sally Taylor-Isherwood, A.J. Henderson, Joanna Noyes, Mark Camacho, Hayley Reynolds, Robert Naylor",,,2006,TV-G,1 Season,"Animation, Kids","Welcome to ARTHUR and the adventures of the world's most famous aardvark, 8-year-old Arthur Read. Arthur and his Elwood City friends encounter the joys and difficulties that all kids experience, managing them with imagination, kindness, and a lot of humor! Based on the beloved best-selling books by Marc Brown.",amazon,"7,3"
s3211,Movie,Arpo the Robot for All Kids - Supermarket Adventures & More Funny Kids Cartoons,,,,,2020,ALL,21 min,"Animation, Kids","Arpo was designed as a commando robot, built as a fierce fighting machine. But, with world peace achieved Arpo has been re-equipped for caregiving, re-coded for cuddling, and officially reassigned as a nanny robot! Arpo helps children age 4-8 build an understanding of non-verbal communication like body language and facial expressions. Enjoy Arpo's hilarious, slapstick funny cartoons for kids!",amazon,
s3212,Movie,Arpo the Robot for All Kids - Save the Baby & More Robot Kids Cartoon,,,,,2020,ALL,22 min,"Animation, Kids","Arpo was designed as a commando robot, built as a fierce fighting machine. But, with world peace achieved Arpo has been re-equipped for caregiving, re-coded for cuddling, and officially reassigned as a nanny robot! Arpo helps children age 4-8 build an understanding of non-verbal communication like body language and facial expressions. Enjoy Arpo's hilarious, slapstick funny cartoons for kids!",amazon,
s3213,Movie,Arpo the Robot for All Kids - Peekabooboo & More Cartoons for Kids,,,,,2020,ALL,21 min,"Animation, Kids","Arpo was designed as a commando robot, built as a fierce fighting machine. But, with world peace achieved Arpo has been re-equipped for caregiving, re-coded for cuddling, and officially reassigned as a nanny robot! Arpo helps children age 4-8 build an understanding of non-verbal communication like body language and facial expressions. Enjoy Arpo's hilarious, slapstick funny cartoons for kids!",amazon,
s3214,Movie,Arpo the Robot for All Kids - Kung Fu Time & More Cartoons for Kids,,,,,2020,ALL,21 min,"Animation, Kids","Arpo was designed as a commando robot, built as a fierce fighting machine. But, with world peace achieved Arpo has been re-equipped for caregiving, re-coded for cuddling, and officially reassigned as a nanny robot! Arpo helps children age 4-8 build an understanding of non-verbal communication like body language and facial expressions. Enjoy Arpo's hilarious, slapstick funny cartoons for kids!",amazon,
s3215,Movie,Arpo the Robot for All Kids - Germ War & More Funny Kids Cartoons,,,,,2020,ALL,23 min,"Animation, Kids","Arpo was designed as a commando robot, built as a fierce fighting machine. But, with world peace achieved Arpo has been re-equipped for caregiving, re-coded for cuddling, and officially reassigned as a nanny robot! Arpo helps children age 4-8 build an understanding of non-verbal communication like body language and facial expressions. Enjoy Arpo's hilarious, slapstick funny cartoons for kids!",amazon,
s3216,Movie,Arpo the Robot for All Kids - Burglary Alert & More Robot Cartoons,,,,,2020,ALL,22 min,"Animation, Kids","Arpo was designed as a commando robot, built as a fierce fighting machine. But, with world peace achieved Arpo has been re-equipped for caregiving, re-coded for cuddling, and officially reassigned as a nanny robot! Arpo helps children age 4-8 build an understanding of non-verbal communication like body language and facial expressions. Enjoy Arpo's hilarious, slapstick funny cartoons for kids!",amazon,
s3217,Movie,Arpo the Robot for All Kids - Boy in Bubble & More Robot Cartoons for Kids,,,,,2020,ALL,21 min,"Animation, Kids","Arpo was designed as a commando robot, built as a fierce fighting machine. But, with world peace achieved Arpo has been re-equipped for caregiving, re-coded for cuddling, and officially reassigned as a nanny robot! Arpo helps children age 4-8 build an understanding of non-verbal communication like body language and facial expressions. Enjoy Arpo's hilarious, slapstick funny cartoons for kids!",amazon,
s3218,Movie,Arpo the Robot for All Kids - Arpo at the Zoo & More Robot Kids Cartoons,,,,,2020,ALL,22 min,"Animation, Kids","Arpo was designed as a commando robot, built as a fierce fighting machine. But, with world peace achieved Arpo has been re-equipped for caregiving, re-coded for cuddling, and officially reassigned as a nanny robot! Arpo helps children age 4-8 build an understanding of non-verbal communication like body language and facial expressions. Enjoy Arpo's hilarious, slapstick funny cartoons for kids!",amazon,
s3219,Movie,Arpo the Robot for All Kids - Alien Invasion & More Robot Kids Cartoons,,,,,2020,ALL,21 min,"Animation, Kids","Arpo was designed as a commando robot, built as a fierce fighting machine. But, with world peace achieved Arpo has been re-equipped for caregiving, re-coded for cuddling, and officially reassigned as a nanny robot! Arpo helps children age 4-8 build an understanding of non-verbal communication like body language and facial expressions. Enjoy Arpo's hilarious, slapstick funny cartoons for kids!",amazon,
s3220,Movie,Around the World in One Hour,Mark Knight,,,,2012,ALL,60 min,Special Interest,"A soothing video postcard with no narration or music, just natural sounds. Underwater reefs-Philippines, penguins in Argentina, Ice City of Harbin China, Panama Canal, Millennium Park Chicago, Aruba, Oregon Cattle Ranch, Glassfish, Panama Rain Forest , Hacienda Temezon Mexico, Hachiko Crossing Tokyo, Venice Gondolas, Prague, Zocolo Square Mexico City, Tanah Lot Bali, and the Bellagio Fountains",amazon,
s3221,Movie,Around The World in 90 Minutes,Mark Knight,,,,2016,ALL,90 min,Special Interest,"Sharecare Windows takes you on a 90-minute relaxation journey with some of our most popular ambient relaxation videos. From the wide-open Texas skies, to the colorful Caribbean, to the underwater world of Palau, the Panama Canal, to the cities of Prague, Chicago, this is a delightful long-play background video with natural the natural sounds recorded on location.",amazon,"7,2"
s3222,Movie,Around The World in 30 Minutes,Mark Knight,,,,2012,ALL,30 min,Special Interest,"A soothing video postcard format with no narration or music-simply an upbeat tempo blend of Zen and energy for an energetic yet relaxing mood. Videos include Crown Fountain Millennium Park Chicago, Times Square at night New York City, Gondola ride on Venice Canals, Penguin Beach Punta Tomba Argentina, Mira Flores Locks at Panama Canal and Haichiko Crossing in Tokyo.",amazon,
s3223,Movie,Army Mystery,Joseph H. Lewis,"Eric Linden, Ben Alexander, Donald Curtis, Ann Doran, Constance Worth",,,1943,PG-13,62 min,Suspense,"When Professor Carroll, a U.S. Army scientist, is murdered after formulating a powerful chemical explosive, Military Intelligence assumes the criminal investigation, leading to a foreign spy ring. Carroll's younger brother, Army Corporal Greg (Eric Linden) goes AWOL with a goal of locating his sibling's killer. Greg is known to have had in his possession a list of other researchers involved in the development of the explosive who are in danger. Both M.I. and a number of enemy agents are after him to obtain the list.",amazon,"5,3"
s3226,Movie,Are They Here? UFOs Caught on Camera,"Brian Aabech, Robert Kiviat",Bobby R. Inman,,,2020,13+,42 min,Documentary,"Award winning Fox Television Special, which includes never before seen UFO footage. This collection of clips and videos shot all over the world shed light on the long debated presence of aliens on planet earth.",amazon,
s3228,Movie,Archive of World War Two - Tunisian Victory,,,,,2011,16+,74 min,"Military and War, Special Interest","The Archive of World War Two is a series of original archive documentaries filmed under actual battle conditions by service and newsreel cameramen attached to American, British, French, Russian and enemy forces. Contains graphic images of war.",amazon,
s3229,Movie,Arc,Robert Ethan Gunnerson,"Jonah Blechman, Garrett M. Brown",,,2006,16+,113 min,Drama,"Set in the underbelly of Los Angeles' criminal underworld, Arc is the story of Paris Pritcher, a former police officer turned drug dealer and addict who embarks on a quest to find a missing child in the hope of redeeming his eroding character.",amazon,"6,6"
s3231,Movie,Apollo 13,"Noel Buckner, Rob Whittlesey","John Aaron, Fred Haise",,,1994,7+,51 min,Documentary,"They were 200,000 miles from Earth when an explosion crippled their spacecraft, stranding them, perhaps forever. Relive the thrilling true story of the catastrophic flight of Apollo 13 and the crew's heroic battle against the odds in this documentary, through first-hand accounts from the pilots, their families, and Mission Control.",amazon,"7,6"
s3236,Movie,Anthem of a Teenage Prophet,Robin Hays,"Cameron Monaghan, Peyton List, Juliette Lewis, Grayson Gabriel",,,2019,,102 min,"Drama, Young Adult Audience","Based on the award-winning novel, a teenager's gift of premonition becomes a curse when after predicting the death of one of his friends, Luke Hunter is dubbed the 'prophet of death' by a local news reporter. A media madhouse infiltrates Luke's life, desperate to know more. Troubled and confused, Luke must make sense of his newfound abilities in this fast-moving tale of struggling youth.",amazon,"5,4"
