show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s4194,Movie,Mara: River of Death,,,,,2016,ALL,51 min,"Documentary, Special Interest","East Africa's Mara River is both a giver of life and and bringer of death. It is a crucial crossing point for the largest migration of mammals on the planet, including millions of zebras and wildebeests. It is also the stage for an ancient and bloody confrontation between these herds and crocodiles. With the gathering of predators and prey on its banks, the water is sure to run red with blood.",amazon,
s4195,Movie,Learning With Little Baby Bum,Cannis Holder,,,,2019,ALL,49 min,Kids,"A compilation with original LittleBabyBum educational songs, like Eat Your Vegetables, Making Friends Song, Weather Song and many more!",amazon,
s4196,Movie,Hummingbirds,Paul Reddish,David Attenborough,,,2013,7+,53 min,"Documentary, Special Interest","David Attenborough takes us into the remarkable lives of hummingbirds via stunning slow motion photography. Everything about these tiny birds is superb and extreme. They have the highest metabolism, fastest heart beat and most rapid wing beat in the avian world. They evolved to feed on flowering plants but are now a crucial part of wider ecosystems. How do they mate, raise their young, and live?",amazon,
s4197,Movie,From Other Worlds,Barry Strugatz,"Cara Buono, Melissa Leo, Robert Downey Sr.",,,2004,,85 min,"Comedy, Science Fiction","A stressed-out single mom from Brooklyn is abducted by aliens. Upon her return to Planet Earth, she finds new meaning in life by stumbling into romance and saving the human race.",amazon,4.9
s4198,Movie,Fantastic Learning Songs - Little Baby Bum,Cannis Holder,,,,2019,ALL,37 min,Kids,"Everybody loves having fun, and in this amazing collection of videos you can learn while doing it! Sing along to classic Little Baby Bum songs like the 'Times Tables Song' and 'Nature Painting!'.",amazon,
s4199,Movie,Emotional Fool,Prince Jagrit Kiriti,"Jagrit Kiriti, Vishika, Sampath, Shruthi",,,2021,18+,47 min,"Drama, Romance","The movie starts with the break up of Shruthi and her boyfriend in a cafe. The reason behind this is just because he always becomes so emotional. Vishika, who sits at a neighbouring table observes the entire thing that happened between them. After he leaves, she asks Shruthi about the issue and recollects her own story in which she has the same kind of emotional fool (her boyfriend) for herself.",amazon,6.9
s4200,Movie,Dudes & Dragons,"Maclain Nelson, Stephen Shimek","James Marsters, Kaitlin Doubleday, Luke Perry, Adam Johnson",United States,,2016,13+,114 min,"Action, Adventure, Fantasy","When a powerful wizard (James Marsters) vows to rid the land of love through the use of his fire-breathing dragon, a brave team of eccentric warriors embark on a grand quest to break the curse, defeat the wizard, and slay his terrible beast.",amazon,
s4201,Movie,Different Worlds,"Terrence Rosemore, Chris Eneaji","Kenneth Okolie, Tadasay Young, Kofi Adjorlolo, Lilian Esoro, Ngozi Ezeonu",,,2020,13+,117 min,"Comedy, Romance",A Nigerian man travels to America for adventure and has a life changing encounter with a New Orleans artist.,amazon,
s4202,Movie,Dead Man's Cards,James Marquand,"Paul Barber, Samantha Janus, Spencer Wilding",,,2006,,88 min,"Action, Drama","When Tom's boxing career ends abruptly, he's offered a job as a door man at a rundown night club. There he meets Paul, a volatile man with a history of bloodshed. Paul tries mentoring Tom on living a ""clean"" life, but the two men are soon unavoidably at odds with vicious local gangsters, and the violence running through their veins is about to erupt.",amazon,"5,5"
s4203,Movie,Dark Was the Night,Jack Heller,"Kevin Durand, Lukas Haas, Bianca Kajlich",,,2015,13+,99 min,"Horror, Science Fiction, Suspense","Maiden Woods is a remote and quiet town of decent hard-working people, but something stirs in the dark woods surrounding this isolated community. After a logging company decimates an area of the forest, a rash of increasingly violent and unexplainable events transpires.",amazon,
s4204,Movie,"Come On, Tarzan",Alan James,"Ken Maynard, Tarzan the Horse, Merna Kennedy, Niles Welch",,,1932,13+,56 min,Western,"Ken Maynard's exceptionally intelligent horse, Tarzan the Wonder Horse, is the star of this western about evil cowboy Steve Frazer (Welch) who gathers horses for slaughter, whose meat is sold to pet food manufacturers. The wild horse Tarzan frees the doomed horses from their corrals, and Frazer convinces the Sheriff that Tarzan is a threat and can be shot on sight. Local cowboy Ken Benson (Maynard) and rancher Pat Riley (Kennedy) work together to clear Tarzan's good name and put Frazier behind bars for his evil deeds.",amazon,6.5
s4205,Movie,Cocktail Hour Cities Edition II,Jim Wilmer,Magnus Ringblom Quartet,,,2020,ALL,59 min,"Documentary, Special Interest",Relaxing original jazz composed by Magnus Ringblom Quartet accompanied by soothing and beautiful HD video from cities around the world.,amazon,
